Id	Site	Grid.10km	Expansion	ID	RegScore1
PA_21_YC_13_D_calibrated	YC	NT58	England	PA_21_YC_13_D_calibrated	-0.008316120538450699
PA_21_YC_14_D_calibrated	YC	NT58	England	PA_21_YC_14_D_calibrated	0.019815597839682016
PA_21_YC_15_D_calibrated	YC	NT58	England	PA_21_YC_15_D_calibrated	-0.01824677278098129
PA_21_YC_16_D_calibrated	YC	NT58	England	PA_21_YC_16_D_calibrated	-0.0016183245086138546
PA_21_YC_17_D_calibrated	YC	NT58	England	PA_21_YC_17_D_calibrated	0.009625556549419772
PA_21_YC_19_D_calibrated	YC	NT58	England	PA_21_YC_19_D_calibrated	-0.008780126547029164
PA_21_YC_20_D_calibrated	YC	NT58	England	PA_21_YC_20_D_calibrated	0.025055480605049252
PA_24_Tay_01_D_calibrated	YC	NT58	England	PA_24_Tay_01_D_calibrated	-0.0063893619315230354
PA_24_Tay_02_D_calibrated	YC	NT58	England	PA_24_Tay_02_D_calibrated	0.005274912064994619
PA_24_Tay_03_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_03_D_calibrated	-0.002691417360700409
PA_24_Tay_04_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_04_D_calibrated	0.004538152146700523
PA_24_Tay_05_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_05_D_calibrated	-0.0014742331746505398
PA_24_Tay_06_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_06_D_calibrated	-0.006431976944751814
PA_24_Tay_07_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_07_D_calibrated	0.013480937772421889
PA_24_Tay_08_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_08_D_calibrated	0.02822455523423845
PA_24_Tay_09_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_09_D_calibrated	0.01009385258390869
PA_24_Tay_10_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_10_D_calibrated	-0.006948560190003251
PA_24_Tay_11_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_11_D_calibrated	1.893504363693647E-4
PA_24_Tay_12_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_12_D_calibrated	0.008843533801049831
PA_24_Tay_13_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_13_D_calibrated	0.013709171971148315
PA_24_Tay_14_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_14_D_calibrated	0.011413572659241247
PA_24_Tay_15_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_15_D_calibrated	-0.007940743937723267
PA_24_Tay_16_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_16_D_calibrated	0.0016543909537937176
PA_24_Tay_17_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_17_D_calibrated	0.0019400432545634864
PA_24_Tay_18_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_18_D_calibrated	0.0036549587762139727
PA_24_Tay_19_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_19_D_calibrated	0.014895982356916651
PA_24_Tay_20_D_calibrated	Tay	NR78	Scotland	PA_24_Tay_20_D_calibrated	0.004330801105831523
PA_25_AF_01_D_calibrated	AF	NN86	Scotland	PA_25_AF_01_D_calibrated	-0.028139543894952
PA_25_AF_02_D_calibrated	AF	NN86	Scotland	PA_25_AF_02_D_calibrated	0.0016739400541070236
PA_25_AF_03_D_calibrated	AF	NN86	Scotland	PA_25_AF_03_D_calibrated	0.013694660467673123
PA_25_AF_04_D_calibrated	AF	NN86	Scotland	PA_25_AF_04_D_calibrated	0.003103607803930031
PA_25_AF_05_D_calibrated	AF	NN86	Scotland	PA_25_AF_05_D_calibrated	0.0010722345494200308
PA_25_AF_06_D_calibrated	AF	NN86	Scotland	PA_25_AF_06_D_calibrated	0.011203912152291589
PA_25_AF_07_D_calibrated	AF	NN86	Scotland	PA_25_AF_07_D_calibrated	0.011157771861630694
PA_25_AF_08_D_calibrated	AF	NN86	Scotland	PA_25_AF_08_D_calibrated	0.008653322722230619
PA_25_AF_09_D_calibrated	AF	NN86	Scotland	PA_25_AF_09_D_calibrated	-0.004302283478743918
PA_25_AF_10_D_calibrated	AF	NN86	Scotland	PA_25_AF_10_D_calibrated	0.017895364997523044
PA_25_AF_11_D_calibrated	AF	NN86	Scotland	PA_25_AF_11_D_calibrated	0.006227104283188444
PA_25_AF_12_D_calibrated	AF	NN86	Scotland	PA_25_AF_12_D_calibrated	0.011180969504777528
PA_25_AF_13_D_calibrated	AF	NN86	Scotland	PA_25_AF_13_D_calibrated	-0.005706454352015178
PA_25_AF_14_D_calibrated	AF	NN86	Scotland	PA_25_AF_14_D_calibrated	0.013777985460416633
PA_25_AF_15_D_calibrated	AF	NN86	Scotland	PA_25_AF_15_D_calibrated	0.020284740439882792
PA_25_AF_16_D_calibrated	AF	NN86	Scotland	PA_25_AF_16_D_calibrated	0.002377475115837722
PA_25_AF_17_D_calibrated	AF	NN86	Scotland	PA_25_AF_17_D_calibrated	-0.006530936055105723
PA_25_AF_18_D_calibrated	AF	NN86	Scotland	PA_25_AF_18_D_calibrated	-0.0033992084666492066
PA_25_AF_19_D_calibrated	AF	NN86	Scotland	PA_25_AF_19_D_calibrated	-0.0038932100215502857
PA_25_AF_20_D_calibrated	AF	NN86	Scotland	PA_25_AF_20_D_calibrated	-0.004875070163216932
PA_26_RF_01_D_calibrated	RF	NM76	Scotland	PA_26_RF_01_D_calibrated	0.01742657016178415
PA_26_RF_02_D_calibrated	RF	NM76	Scotland	PA_26_RF_02_D_calibrated	0.014209711553357747
PA_26_RF_03_D_calibrated	RF	NM76	Scotland	PA_26_RF_03_D_calibrated	-0.0011934393793897081
PA_26_RF_04_D_calibrated	RF	NM76	Scotland	PA_26_RF_04_D_calibrated	-0.005956725901356327
PA_26_RF_05_D_calibrated	RF	NM76	Scotland	PA_26_RF_05_D_calibrated	0.010438947107651787
PA_26_RF_06_D_calibrated	RF	NM76	Scotland	PA_26_RF_06_D_calibrated	0.004121032691750572
PA_26_RF_07_D_calibrated	RF	NM76	Scotland	PA_26_RF_07_D_calibrated	0.0031768475782676313
PA_27_SL_01_D_calibrated	SL	NN29	Scotland	PA_27_SL_01_D_calibrated	-0.0016865479476618353
PA_27_SL_02_D_calibrated	SL	NN29	Scotland	PA_27_SL_02_D_calibrated	0.014180787596782055
PA_27_SL_03_D_calibrated	SL	NN29	Scotland	PA_27_SL_03_D_calibrated	-0.003378993019118664
PA_27_SL_04_D_calibrated	SL	NN29	Scotland	PA_27_SL_04_D_calibrated	-9.848202023486426E-4
PA_27_SL_05_D_calibrated	SL	NN29	Scotland	PA_27_SL_05_D_calibrated	0.0062105513543384925
PA_27_SL_06_D_calibrated	SL	NN29	Scotland	PA_27_SL_06_D_calibrated	0.0106148361137041
PA_27_SL_07_D_calibrated	SL	NN29	Scotland	PA_27_SL_07_D_calibrated	0.008884912236198248
PA_29_CC_01_D_calibrated	CC	NO79	Scotland	PA_29_CC_01_D_calibrated	0.014532398440772813
PA_29_CC_02_D_calibrated	CC	NO79	Scotland	PA_29_CC_02_D_calibrated	0.015314852446773537
PA_29_CC_03_D_calibrated	CC	NO79	Scotland	PA_29_CC_03_D_calibrated	0.004834743430078828
PA_29_CC_04_D_calibrated	CC	NO79	Scotland	PA_29_CC_04_D_calibrated	-0.005932615339046137
PA_29_CC_05_D_calibrated	CC	NO79	Scotland	PA_29_CC_05_D_calibrated	8.92809383834551E-4
PA_29_CC_06_D_calibrated	CC	NO79	Scotland	PA_29_CC_06_D_calibrated	-0.009742418425281129
PA_29_CC_07_D_calibrated	CC	NO79	Scotland	PA_29_CC_07_D_calibrated	0.013887987777477037
PA_29_CC_08_D_calibrated	CC	NO79	Scotland	PA_29_CC_08_D_calibrated	0.0018921135714054177
PA_29_CC_09_D_calibrated	CC	NO79	Scotland	PA_29_CC_09_D_calibrated	0.006300893306777074
PA_29_CC_10_D_calibrated	CC	NO79	Scotland	PA_29_CC_10_D_calibrated	0.022495551486233358
PA_29_CC_11_D_calibrated	CC	NO79	Scotland	PA_29_CC_11_D_calibrated	-0.0025923394453113476
PA_29_CC_12_D_calibrated	CC	NO79	Scotland	PA_29_CC_12_D_calibrated	0.007173561668514525
