 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
703,PA_10_HRC_03_D_calibrated.png:wing,277441,62.57,34.38,12,233,553.71,653.18,758.47,465.74,134.81,847.85,17359190.00,17359190.00,293,325,137.39,499.25
704,PA_10_HRC_03_D_calibrated.png:cream,20265,156.05,28.43,61,233,540.78,606.32,199.82,129.13,118.91,835.50,3162359.00,3162359.00,289,333,136.79,483.86
705,PA_10_HRC_03_D_calibrated.png:brown,257176,55.20,21.64,12,189,556.54,663.59,733.30,446.54,135.44,847.85,14196831.00,14196831.00,293,325,137.39,499.25
706,PA_10_HRC_04_D_calibrated.png:wing,282820,56.58,31.19,12,203,605.34,591.54,775.65,464.25,138.79,851.71,16001045.00,16001045.00,332,278,140.48,501.41
707,PA_10_HRC_04_D_calibrated.png:cream,19597,148.54,28.13,60,203,561.30,538.41,185.88,134.23,117.76,836.50,2910869.00,2910869.00,327,288,139.07,484.09
708,PA_10_HRC_04_D_calibrated.png:brown,263223,49.73,17.60,12,184,615.07,603.29,752.12,445.60,139.36,851.71,13090176.00,13090176.00,332,278,140.48,501.41
709,PA_10_HRC_05_D_calibrated.png:wing,262066,60.79,33.20,14,225,614.69,680.32,753.32,442.93,137.53,832.80,15932119.00,15932119.00,344,373,139.58,484.64
710,PA_10_HRC_05_D_calibrated.png:cream,16483,159.82,29.53,63,225,568.23,592.81,188.59,111.29,128.12,783.07,2634257.00,2634257.00,398,330,128.36,475.64
711,PA_10_HRC_05_D_calibrated.png:brown,245583,54.15,20.37,14,187,623.94,697.68,730.30,428.16,138.25,832.80,13297862.00,13297862.00,344,373,139.58,484.64
712,PA_10_HRC_06_D_calibrated.png:wing,251398,111.89,48.12,21,248,557.62,619.82,740.24,432.41,127.99,821.52,28128354.00,28128354.00,372,295,130.36,470.44
713,PA_10_HRC_06_D_calibrated.png:cream,53634,185.84,27.44,39,248,547.56,596.49,293.76,232.47,100.31,756.61,9967544.00,9967544.00,372,297,127.16,463.84
714,PA_10_HRC_06_D_calibrated.png:brown,197764,91.83,29.22,21,202,563.15,632.63,679.86,370.37,129.72,821.52,18160810.00,18160810.00,372,295,130.36,470.44
715,PA_10_HRC_07_D_calibrated.png:wing,285359,56.44,34.70,13,205,534.40,640.01,765.29,474.76,134.04,845.18,16106323.00,16106323.00,281,302,136.20,511.42
