 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
295,CNM32_D_calibrated.png:wing,238182,95.95,43.66,22,251,453.21,700.71,717.27,422.80,130.38,791.40,22854553,22854553,250,358,126.88,450.36
296,CNM32_D_calibrated.png:cream,20506,203.14,28.28,91,251,435.41,682.76,194.03,134.56,126.77,750.09,4165533,4165533,249,361,124.79,444.97
297,CNM32_D_calibrated.png:brown,238182,78.47,36.54,0,215,457.18,704.71,717.27,422.80,130.38,791.40,18689020,18689020,250,358,126.88,450.36
298,CNM33_D_calibrated.png:wing,259745,89.82,45.03,22,249,391.92,655.63,743.44,444.85,131.80,818.17,23330931,23330931,152,323,135.64,477.80
299,CNM33_D_calibrated.png:cream,24518,200.37,30.99,92,249,380.47,610.64,221.72,140.79,118.68,790.09,4912597,4912597,207,285,128.89,457.98
300,CNM33_D_calibrated.png:brown,259745,70.91,34.46,0,223,394.97,667.63,743.44,444.85,131.80,818.17,18418334,18418334,152,323,135.64,477.80
301,CNM34_D_calibrated.png:wing,234372,106.72,42.55,26,250,439.36,651.77,725.04,411.58,128.94,793.45,25011953,25011953,242,318,130.09,441.14
302,CNM34_D_calibrated.png:cream,21658,206.97,28.90,102,250,427.14,612.82,214.57,128.52,118.23,769.47,4482554,4482554,255,331,128.88,434.33
303,CNM34_D_calibrated.png:brown,234372,87.59,38.62,0,224,442.02,660.28,725.04,411.58,128.94,793.45,20529399,20529399,242,318,130.09,441.14
304,CNM35_D_calibrated.png:wing,225206,104.03,44.33,25,251,391.51,689.43,706.15,406.06,135.13,785.71,23429137,23429137,163,375,135.98,438.63
305,CNM35_D_calibrated.png:cream,25958,199.47,27.46,96,251,387.56,676.18,224.02,147.54,122.03,755.57,5177820,5177820,189,364,133.18,429.40
306,CNM35_D_calibrated.png:brown,225206,81.04,39.33,0,223,392.63,693.18,706.15,406.06,135.13,785.71,18251317,18251317,163,375,135.98,438.63
307,CNM36_D_calibrated.png:wing,246001,105.75,41.07,29,249,434.32,674.72,727.63,430.46,130.35,797.21,26013485,26013485,213,350,133.42,466.08
308,CNM36_D_calibrated.png:cream,20348,209.93,27.63,114,249,403.58,629.00,191.97,134.96,115.27,790.23,4271602,4271602,214,352,133.21,457.94
309,CNM36_D_calibrated.png:brown,246001,88.38,36.73,0,221,440.36,683.70,727.63,430.46,130.35,797.21,21741883,21741883,213,350,133.42,466.08
310,CNM37_D_calibrated.png:wing,243081,102.65,40.27,27,249,460.74,680.37,719.09,430.41,127.72,775.60,24952502,24952502,307,312,120.10,463.05
311,CNM37_D_calibrated.png:cream,18361,207.07,28.61,104,249,448.90,647.97,178.88,130.69,120.09,766.68,3801928,3801928,271,341,126.03,454.25
312,CNM37_D_calibrated.png:brown,243081,87.01,35.89,0,216,462.87,686.19,719.09,430.41,127.72,775.60,21150574,21150574,307,312,120.10,463.05
313,CNM38_D_calibrated.png:wing,237260,114.00,41.29,24,250,812.15,690.05,708.90,426.14,121.54,776.41,27048732,27048732,655,341,126.52,462.36
314,CNM38_D_calibrated.png:cream,24066,208.44,28.50,110,250,809.57,660.14,203.74,150.39,106.17,755.03,5016434,5016434,670,342,125.46,449.25
315,CNM38_D_calibrated.png:brown,237260,92.86,39.86,0,228,812.73,696.86,708.90,426.14,121.54,776.41,22032298,22032298,655,341,126.52,462.36
316,CNM39_D_calibrated.png:wing,237059,104.97,37.63,24,250,420.41,704.40,716.93,421.01,130.59,767.31,24884062,24884062,194,397,134.10,446.90
317,CNM39_D_calibrated.png:cream,16365,202.15,25.77,118,250,409.15,649.52,168.89,123.37,136.38,762.98,3308114,3308114,210,385,129.47,413.46
318,CNM39_D_calibrated.png:brown,237059,91.02,35.84,0,229,422.14,712.81,716.93,421.01,130.59,767.31,21575948,21575948,194,397,134.10,446.90
319,CNM3_D_calibrated.png:wing,212470,112.79,48.82,24,251,439.05,708.83,679.04,398.39,127.31,741.68,23964321,23964321,254,391,126.00,428.30
320,CNM3_D_calibrated.png:cream,35019,199.26,28.41,104,251,445.69,706.92,259.96,171.52,109.40,736.43,6977999,6977999,258,392,125.44,424.63
321,CNM3_D_calibrated.png:brown,212470,79.95,45.12,0,216,436.32,709.62,679.04,398.39,127.31,741.68,16986322,16986322,254,391,126.00,428.30
