 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
159,CCM15_D_calibrated.png:bot3rd,55938,98.13,36.34,24,238,372.83,191.03,96.34,415.10,5489159.00,5489159.00,620.00,290.49,104.38,218.89
160,CCM15_D_calibrated.png:whole_wing,235145,87.97,33.67,21,238,613.80,487.78,166.10,654.08,20685819.00,20685819.00,184.81,513.89,179.78,501.51
161,CCM16_D_calibrated.png:edge3rd,60091,59.88,24.64,16,198,421.89,181.35,88.09,457.83,3598297.00,3598297.00,381.67,693.85,89.45,194.78
162,CCM16_D_calibrated.png:mid3rd,84922,65.44,25.33,25,190,497.87,217.18,92.31,489.76,5557707.00,5557707.00,411.00,240.92,113.42,195.00
163,CCM16_D_calibrated.png:bot3rd,43658,85.56,33.32,27,203,355.49,156.37,95.38,391.70,3735576.00,3735576.00,605.20,307.54,104.17,194.03
164,CCM16_D_calibrated.png:whole_wing,187842,68.35,28.90,16,203,539.89,442.99,155.73,581.80,12838224.00,12838224.00,217.22,497.22,179.89,458.28
165,CCM17_D_calibrated.png:edge3rd,73901,71.14,25.62,17,192,480.19,195.95,87.27,523.20,5257041.00,5257041.00,436.07,725.86,86.06,220.41
166,CCM17_D_calibrated.png:mid3rd,107916,76.37,25.11,36,200,555.70,247.26,92.11,548.86,8241191.00,8241191.00,473.09,203.32,113.51,221.00
167,CCM17_D_calibrated.png:bot3rd,62461,93.47,35.24,27,232,402.57,197.55,95.96,438.55,5838076.00,5838076.00,691.00,270.22,106.42,220.05
168,CCM17_D_calibrated.png:whole_wing,243333,79.16,29.49,17,232,615.40,503.44,162.93,659.47,19262708.00,19262708.00,251.59,504.57,179.76,522.40
169,CCM18_D_calibrated.png:edge3rd,81020,99.86,35.95,23,246,485.53,212.47,87.34,512.14,8090268.00,8090268.00,336.36,718.71,82.60,220.91
170,CCM18_D_calibrated.png:mid3rd,102299,99.38,35.36,31,240,532.18,244.75,93.43,536.42,10166938.00,10166938.00,403.76,210.93,113.65,221.00
171,CCM18_D_calibrated.png:bot3rd,57022,109.79,45.64,22,247,352.28,206.09,91.06,383.40,6260347.00,6260347.00,652.31,326.13,95.98,220.37
172,CCM18_D_calibrated.png:whole_wing,240341,102.01,38.48,22,247,634.83,482.04,165.40,662.29,24517553.00,24517553.00,182.09,512.28,0.29,508.93
173,CCM1_D_calibrated.png:edge3rd,76368,69.14,26.68,17,210,472.47,205.80,86.30,508.94,5279864.00,5279864.00,322.53,710.87,81.63,219.89
174,CCM1_D_calibrated.png:mid3rd,106939,72.53,26.73,28,210,554.57,245.52,92.50,552.46,7756330.00,7756330.00,398.02,207.62,112.83,220.00
175,CCM1_D_calibrated.png:bot3rd,57970,86.94,35.40,22,244,402.15,183.54,95.50,444.99,5039971.00,5039971.00,618.00,281.60,104.57,219.81
176,CCM1_D_calibrated.png:whole_wing,240778,74.93,29.86,17,244,614.40,498.97,160.24,658.71,18040995.00,18040995.00,179.11,500.03,0.14,512.64
177,CCM20_D_calibrated.png:edge3rd,77546,66.49,24.58,18,200,480.52,205.47,86.50,522.02,5156207.00,5156207.00,348.55,728.87,83.66,221.66
178,CCM20_D_calibrated.png:mid3rd,109908,75.32,26.77,30,207,564.72,247.80,91.89,546.46,8278207.00,8278207.00,409.08,208.77,113.10,222.00
179,CCM20_D_calibrated.png:bot3rd,50730,92.75,37.99,30,238,363.20,177.84,90.82,429.87,4705383.00,4705383.00,628.00,281.53,91.00,221.48
180,CCM20_D_calibrated.png:whole_wing,237672,76.19,30.42,18,238,589.05,513.73,172.28,664.13,18107792.00,18107792.00,185.34,505.77,179.93,525.63
181,CCM22_D_calibrated.png:edge3rd,1,0.00,0.00,0,0,1.13,1.13,0.00,403.00,0.00,0.00,-266.49,410.61,48.14,1.00
182,CCM22_D_calibrated.png:mid3rd,89430,94.55,29.36,0,199,618.15,184.21,90.13,864.30,8455462.00,8455462.00,111.64,-7.85,111.40,271.41
183,CCM22_D_calibrated.png:bot3rd,168062,76.49,33.06,21,248,640.60,334.03,83.53,685.64,12854250.00,12854250.00,441.62,843.66,81.16,347.42
184,CCM22_D_calibrated.png:whole_wing,257493,82.76,32.96,0,248,648.66,505.42,80.92,1041.65,21309712.00,21309712.00,-267.23,409.94,179.93,646.74
185,CCM23_D_calibrated.png:edge3rd,82992,82.14,24.19,24,199,499.16,211.69,87.73,541.95,6817239.00,6817239.00,416.95,730.36,87.51,231.98
186,CCM23_D_calibrated.png:mid3rd,118079,88.49,25.35,37,204,579.81,259.30,92.19,573.61,10449017.00,10449017.00,467.45,192.72,113.70,232.00
187,CCM23_D_calibrated.png:bot3rd,68529,104.04,39.56,27,234,405.23,215.32,94.08,461.36,7129612.00,7129612.00,699.00,261.83,107.26,231.01
188,CCM23_D_calibrated.png:whole_wing,269076,90.50,30.50,24,234,655.85,522.37,164.94,694.02,24352188.00,24352188.00,236.02,490.19,179.51,540.90
189,CCM24_D_calibrated.png:edge3rd,83436,95.35,27.02,26,206,491.16,216.29,87.36,518.17,7955867.00,7955867.00,405.43,719.97,82.01,229.43
190,CCM24_D_calibrated.png:mid3rd,111043,98.34,23.82,44,242,550.54,256.81,92.54,549.61,10920276.00,10920276.00,477.45,206.83,114.58,230.00
191,CCM24_D_calibrated.png:bot3rd,61459,100.77,32.70,26,235,391.46,199.90,94.81,439.57,6193417.00,6193417.00,706.00,276.31,104.39,229.87
192,CCM24_D_calibrated.png:whole_wing,255012,97.95,27.29,26,242,645.87,502.72,165.72,687.30,24978227.00,24978227.00,248.57,497.25,0.02,515.60
